# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       2.544436513988e-02      -3.656151466246e-01      -3.186777454417e+01      -4.126296534726e+01      -4.126296219308e+01       0.000000000000e+00      -4.347202919518e-01      -3.857932584696e+01       2.931327173550e-01       2.931306467693e-01      -4.818449010527e-02      -2.278707351484e-03      -1.494966723884e-10                      nan      -5.038988180200e-02      -2.238727150019e-03 
       2.557635619681e-02      -3.780602599573e-01      -3.199714705232e+01      -4.153458983880e+01      -4.153458668137e+01       0.000000000000e+00      -4.277311379347e-01      -3.882050930940e+01       2.919269267837e-01       2.919227596435e-01      -4.847334744671e-02      -2.311012399789e-03      -1.495134707873e-10                      nan      -5.078312153731e-02      -2.256520664518e-03 
       2.570852398133e-02      -3.905639460173e-01      -3.212569238082e+01      -4.180624185513e+01      -4.180623869447e+01       0.000000000000e+00      -4.200669867123e-01      -3.906157611907e+01       2.907255402910e-01       2.907194985354e-01      -4.878124829629e-02      -2.343433565966e-03      -1.495309221630e-10                      nan      -5.116691567188e-02      -2.274615693885e-03 
       2.584087244594e-02      -4.029667245740e-01      -3.225312962135e+01      -4.207786398618e+01      -4.207786082229e+01       0.000000000000e+00      -4.118214857514e-01      -3.930243324198e+01       2.895278250899e-01       2.895201461175e-01      -4.910809768415e-02      -2.376046092030e-03      -1.495490291935e-10                      nan      -5.154000854353e-02      -2.293002338472e-03 
       2.597340564424e-02      -4.151112438689e-01      -3.237928005530e+01      -4.234941968092e+01      -4.234941651382e+01       0.000000000000e+00      -4.030988986767e-01      -3.954302103911e+01       2.883333176934e-01       2.883242510755e-01      -4.945355119171e-02      -2.408900999556e-03      -1.495677930523e-10                      nan      -5.190135215080e-02      -2.311664474962e-03 
       2.610612773389e-02      -4.268515997695e-01      -3.250466849989e+01      -4.262099227567e+01      -4.262098910535e+01       0.000000000000e+00      -3.940115027555e-01      -3.978348970996e+01       2.871430814004e-01       2.871328846313e-01      -4.981718678007e-02      -2.441834730758e-03      -1.495872181940e-10                      nan      -5.225027686172e-02      -2.330556228050e-03 
       2.623904297966e-02      -4.380384561449e-01      -3.262888326528e+01      -4.289254695669e+01      -4.289254378317e+01       0.000000000000e+00      -3.846760484199e-01      -4.002374413456e+01       2.859563853405e-01       2.859453221169e-01      -5.019814450532e-02      -2.474999852929e-03      -1.496073073127e-10                      nan      -5.258606426061e-02      -2.349671013988e-03 
       2.637215575665e-02      -4.485410448302e-01      -3.275209308934e+01      -4.316406256625e+01      -4.316405938954e+01       0.000000000000e+00      -3.752128983966e-01      -4.026379325560e+01       2.847732571323e-01       2.847615924150e-01      -5.059540279073e-02      -2.508302615273e-03      -1.496280624361e-10                      nan      -5.290826723281e-02      -2.368963905108e-03 
       2.650547055353e-02      -4.582314372409e-01      -3.287436210677e+01      -4.343560416091e+01      -4.343560098101e+01       0.000000000000e+00      -3.657448521405e-01      -4.050369935972e+01       2.835940950690e-01       2.835820936200e-01      -5.100782432692e-02      -2.541766287935e-03      -1.496494882792e-10                      nan      -5.321671086739e-02      -2.388410107571e-03 
       2.663899197597e-02      -4.669977410673e-01      -3.299543055412e+01      -4.370708980577e+01      -4.370708662269e+01       0.000000000000e+00      -3.563933830224e-01      -4.074335403155e+01       2.824180954839e-01       2.824060176073e-01      -5.143383983004e-02      -2.575439099222e-03      -1.496715862439e-10                      nan      -5.351125837825e-02      -2.407979594094e-03 
