#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.530042E-03   0.242340E+06   0.242317E+06   0.319327E+06   0.318885E+06   0.000000E+00   0.242337E+06   0.242337E+06   0.251864E+06   0.603806E+00   0.241228E+06   0.241222E+06   0.197668E+02
   0.585223E-03   0.242302E+06   0.242273E+06   0.318450E+06   0.317913E+06   0.000000E+00   0.242297E+06   0.242297E+06   0.251797E+06   0.603637E+00   0.241189E+06   0.241182E+06   0.218199E+02
   0.646148E-03   0.242255E+06   0.242220E+06   0.317384E+06   0.316732E+06   0.000000E+00   0.242249E+06   0.242249E+06   0.251716E+06   0.603433E+00   0.241142E+06   0.241133E+06   0.240851E+02
   0.713416E-03   0.242197E+06   0.242155E+06   0.316088E+06   0.315297E+06   0.000000E+00   0.242190E+06   0.242190E+06   0.251617E+06   0.603184E+00   0.241085E+06   0.241074E+06   0.265839E+02
   0.787687E-03   0.242127E+06   0.242076E+06   0.314515E+06   0.313556E+06   0.000000E+00   0.242119E+06   0.242119E+06   0.251496E+06   0.602880E+00   0.241015E+06   0.241002E+06   0.293400E+02
   0.869689E-03   0.242042E+06   0.241979E+06   0.312607E+06   0.311446E+06   0.000000E+00   0.242032E+06   0.242032E+06   0.251350E+06   0.602512E+00   0.240930E+06   0.240914E+06   0.323790E+02
   0.960229E-03   0.241939E+06   0.241862E+06   0.310294E+06   0.308890E+06   0.000000E+00   0.241926E+06   0.241926E+06   0.251172E+06   0.602064E+00   0.240826E+06   0.240807E+06   0.357290E+02
   0.106019E-02   0.241813E+06   0.241719E+06   0.307494E+06   0.305800E+06   0.000000E+00   0.241797E+06   0.241797E+06   0.250956E+06   0.601520E+00   0.240700E+06   0.240677E+06   0.394207E+02
   0.117057E-02   0.241659E+06   0.241545E+06   0.304111E+06   0.302071E+06   0.000000E+00   0.241641E+06   0.241641E+06   0.250694E+06   0.600859E+00   0.240547E+06   0.240519E+06   0.434872E+02
   0.129243E-02   0.241473E+06   0.241334E+06   0.300030E+06   0.297581E+06   0.000000E+00   0.241450E+06   0.241450E+06   0.250377E+06   0.600059E+00   0.240361E+06   0.240326E+06   0.479642E+02
   0.142698E-02   0.241247E+06   0.241078E+06   0.295120E+06   0.292188E+06   0.000000E+00   0.241219E+06   0.241219E+06   0.249993E+06   0.599090E+00   0.240134E+06   0.240092E+06   0.528902E+02
   0.157554E-02   0.240972E+06   0.240766E+06   0.289229E+06   0.285734E+06   0.000000E+00   0.240939E+06   0.240939E+06   0.249530E+06   0.597918E+00   0.239859E+06   0.239808E+06   0.583063E+02
   0.173956E-02   0.240640E+06   0.240388E+06   0.282185E+06   0.278040E+06   0.000000E+00   0.240598E+06   0.240598E+06   0.248972E+06   0.596504E+00   0.239525E+06   0.239463E+06   0.642558E+02
   0.192066E-02   0.240237E+06   0.239931E+06   0.273800E+06   0.268915E+06   0.000000E+00   0.240186E+06   0.240186E+06   0.248300E+06   0.594801E+00   0.239119E+06   0.239044E+06   0.707843E+02
   0.212061E-02   0.239749E+06   0.239377E+06   0.263871E+06   0.258157E+06   0.000000E+00   0.239688E+06   0.239688E+06   0.247495E+06   0.592755E+00   0.238628E+06   0.238537E+06   0.779389E+02
   0.234138E-02   0.239161E+06   0.238707E+06   0.252191E+06   0.245572E+06   0.000000E+00   0.239086E+06   0.239086E+06   0.246534E+06   0.590305E+00   0.238035E+06   0.237924E+06   0.857674E+02
   0.258513E-02   0.238452E+06   0.237900E+06   0.238561E+06   0.230984E+06   0.000000E+00   0.238361E+06   0.238361E+06   0.245390E+06   0.587383E+00   0.237317E+06   0.237183E+06   0.943176E+02
   0.285426E-02   0.237600E+06   0.236928E+06   0.222815E+06   0.214268E+06   0.000000E+00   0.237490E+06   0.237490E+06   0.244037E+06   0.583914E+00   0.236453E+06   0.236289E+06   0.103636E+03
   0.315140E-02   0.236580E+06   0.235763E+06   0.204848E+06   0.195387E+06   0.000000E+00   0.236445E+06   0.236445E+06   0.242445E+06   0.579817E+00   0.235413E+06   0.235215E+06   0.113764E+03
   0.347948E-02   0.235361E+06   0.234368E+06   0.184662E+06   0.174436E+06   0.000000E+00   0.235198E+06   0.235198E+06   0.240586E+06   0.575010E+00   0.234167E+06   0.233928E+06   0.124741E+03
   0.384172E-02   0.233913E+06   0.232706E+06   0.162419E+06   0.151700E+06   0.000000E+00   0.233714E+06   0.233714E+06   0.238432E+06   0.569415E+00   0.232679E+06   0.232389E+06   0.136596E+03
