# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       2.498697134798e+00      -2.248655940084e-03      -5.490986798398e+02      -7.714746155786e+02       0.000000000000e+00      -2.247460753428e-03      -7.136315041636e+02       5.618651883571e-04       5.618651883571e-04      -8.733016917272e-08       8.823382472630e-01       9.186521498248e-01                      nan      -8.539992513223e-08       8.777547875617e-01 
       2.556899267871e+00      -2.161383817484e-03      -5.526633104111e+02      -7.764806484360e+02       0.000000000000e+00      -2.160235016619e-03      -7.182624465748e+02       5.400587541547e-04       5.400587541547e-04      -8.394195723058e-08       8.880637109021e-01       9.246126041978e-01                      nan      -8.208662494145e-08       8.834499878620e-01 
       2.616457102781e+00      -2.077431544071e-03      -5.562329891773e+02      -7.814926365500e+02       0.000000000000e+00      -2.076327364412e-03      -7.228990270081e+02       5.190818411030e-04       5.190818411030e-04      -8.068285752609e-08       8.937974515464e-01       9.305815179545e-01                      nan      -7.889958714096e-08       8.891532949648e-01 
       2.677402217879e+00      -1.996653053709e-03      -5.598012374685e+02      -7.865039636256e+02       0.000000000000e+00      -1.995591808573e-03      -7.275348428708e+02       4.988979521433e-04       4.988979521433e-04      -7.754665381947e-08       8.995288203913e-01       9.365482257865e-01                      nan      -7.583272168494e-08       8.948544543461e-01 
       2.739766927073e+00      -1.918945106031e-03      -5.633717657131e+02      -7.915172437629e+02       0.000000000000e+00      -1.917925163340e-03      -7.321726074462e+02       4.794812908349e-04       4.794812908349e-04      -7.452986971374e-08       9.052637705340e-01       9.425185070403e-01                      nan      -7.288263997214e-08       9.005590516295e-01 
       2.803584296956e+00      -1.844207170022e-03      -5.669482584122e+02      -7.965399293442e+02       0.000000000000e+00      -1.843226951367e-03      -7.368189558847e+02       4.608067378418e-04       4.608067378418e-04      -7.162811589648e-08       9.110082983789e-01       9.484990176006e-01                      nan      -7.004503971159e-08       9.062733837419e-01 
       2.868888164343e+00      -1.772324648196e-03      -5.705295546455e+02      -8.015685091799e+02       0.000000000000e+00      -1.771382635872e-03      -7.414708537905e+02       4.428456589680e-04       4.428456589680e-04      -6.883735362122e-08       9.167606300494e-01       9.544875590767e-01                      nan      -6.731597988501e-08       9.119954035209e-01 
       2.935713154210e+00      -1.703151177197e-03      -5.741021998492e+02      -8.065853826451e+02       0.000000000000e+00      -1.702245931375e-03      -7.461118722148e+02       4.255614828438e-04       4.255614828438e-04      -6.615172457060e-08       9.224989885268e-01       9.604616176920e-01                      nan      -6.468972807410e-08       9.177035752653e-01 
       3.004094698049e+00      -1.636643724331e-03      -5.776852437395e+02      -8.116169969165e+02       0.000000000000e+00      -1.635773828092e-03      -7.507665114364e+02       4.089434570230e-04       4.089434570230e-04      -6.356947737402e-08       9.282539865045e-01       9.664531548031e-01                      nan      -6.216456995306e-08       9.234284239752e-01 
       3.074069052662e+00      -1.572597319964e-03      -5.812402630482e+02      -8.166106972072e+02       0.000000000000e+00      -1.571761465281e-03      -7.553859136086e+02       3.929403663202e-04       3.929403663202e-04      -6.108275561520e-08       9.339640281627e-01       9.723979547819e-01                      nan      -5.973282489874e-08       9.291086056945e-01 
