# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       3.496759579004e-01      -1.761763365544e-02      -2.583687994660e+02      -3.671343069064e+02      -3.671342547583e+02       0.000000000000e+00      -1.758868574152e-02      -3.391388761486e+02       1.363436961790e-02       1.363436961790e-02      -4.367355921803e-01      -1.821098336303e-02      -3.181948726367e-09                      nan      -4.367355455097e-01      -1.959265203977e-02 
       3.527769661558e-01      -1.739003338296e-02      -2.597343612298e+02      -3.687902580450e+02      -3.687902046695e+02       0.000000000000e+00      -1.736145582321e-02      -3.407004905586e+02       1.345740528880e-02       1.345740528880e-02      -4.387338941143e-01      -1.820313912164e-02      -3.252539863133e-09                      nan      -4.387338480329e-01      -1.966789011443e-02 
       3.558779748558e-01      -1.717240202821e-02      -2.613494543212e+02      -3.704961581226e+02      -3.704961034998e+02       0.000000000000e+00      -1.714417639269e-02      -3.423424545962e+02       1.328763029436e-02       1.328763029436e-02      -4.408269416087e-01      -1.814068342738e-02      -3.324111268888e-09                      nan      -4.408268960822e-01      -1.973812309294e-02 
       3.589789839887e-01      -1.696310357096e-02      -2.631531744584e+02      -3.722382059005e+02      -3.722381500103e+02       0.000000000000e+00      -1.693521488505e-02      -3.440438505686e+02       1.312395492885e-02       1.312395492885e-02      -4.429901822323e-01      -1.803974838208e-02      -3.396680608603e-09                      nan      -4.429901372336e-01      -1.980496093955e-02 
       3.620799935433e-01      -1.676025247458e-02      -2.650674727760e+02      -3.739980237600e+02      -3.739979665825e+02       0.000000000000e+00      -1.673268968954e-02      -3.457773114761e+02       1.296511568088e-02       1.296511568088e-02      -4.451912615305e-01      -1.791936075940e-02      -3.470216077824e-09                      nan      -4.451912170406e-01      -1.987017251701e-02 
       3.651810035090e-01      -1.656213677178e-02      -2.670147651791e+02      -3.757585292809e+02      -3.757584707957e+02       0.000000000000e+00      -1.653489239514e-02      -3.475165954723e+02       1.280997070562e-02       1.280997070562e-02      -4.473992790069e-01      -1.779815688779e-02      -3.544752361754e-09                      nan      -4.473992350143e-01      -1.993552062367e-02 
       3.682820138752e-01      -1.636721282566e-02      -2.689180606606e+02      -3.775040472665e+02      -3.775039874533e+02       0.000000000000e+00      -1.634028255137e-02      -3.492366972429e+02       1.265749545177e-02       1.265749545177e-02      -4.495849130856e-01      -1.769409530141e-02      -3.620288583602e-09                      nan      -4.495848695853e-01      -2.000272136259e-02 
       3.713830246319e-01      -1.617428767022e-02      -2.707121457024e+02      -3.792224678018e+02      -3.792224066400e+02       0.000000000000e+00      -1.614766963017e-02      -3.509173838878e+02       1.250690052082e-02       1.250690052082e-02      -4.517245615426e-01      -1.762200198479e-02      -3.696830953892e-09                      nan      -4.517245185347e-01      -2.007321463649e-02 
       3.744840357693e-01      -1.598248227123e-02      -2.723459371026e+02      -3.809041610742e+02      -3.809040985430e+02       0.000000000000e+00      -1.595617634051e-02      -3.525426898034e+02       1.235759597433e-02       1.235759597433e-02      -4.537995161601e-01      -1.759268460245e-02      -3.774384846944e-09                      nan      -4.537994736483e-01      -2.014799256776e-02 
       3.775850472781e-01      -1.579120887850e-02      -2.737839139224e+02      -3.825414971619e+02      -3.825414332405e+02       0.000000000000e+00      -1.576521602410e-02      -3.541007555166e+02       1.220917052806e-02       1.220917052806e-02      -4.557956369565e-01      -1.761243718546e-02      -3.852956295146e-09                      nan      -4.557955949464e-01      -2.022750874832e-02 
