# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       2.812281059279e-02      -1.218632544044e+00      -3.481634903694e+01      -4.724417669818e+01       0.000000000000e+00      -1.023743502137e+00      -4.392486356862e+01       2.697240044216e-01       2.697246521895e-01      -4.387102684041e-04       5.307144685202e-02       5.602637067845e-02                      nan      -9.477108151236e-06       5.340507418598e-02 
       2.825921861753e-02      -1.210299753614e+00      -3.492442253273e+01      -4.751372772051e+01       0.000000000000e+00      -1.019941881404e+00      -4.416064750012e+01       2.685914991986e-01       2.685940549013e-01      -5.603575328394e-04       5.334607041047e-02       5.633626044252e-02                      nan       1.025594725375e-04       5.369653026446e-02 
       2.839590560043e-02      -1.201076575248e+00      -3.503170635429e+01      -4.778335699764e+01       0.000000000000e+00      -1.017113651950e+00      -4.439636519384e+01       2.674625356199e-01       2.674670307823e-01      -6.684089945248e-04       5.362051480695e-02       5.664608013434e-02                      nan       2.124755669289e-04       5.398817618758e-02 
       2.853287822642e-02      -1.191085252126e+00      -3.513823066804e+01      -4.805307830433e+01       0.000000000000e+00      -1.015224742086e+00      -4.463203433207e+01       2.663371403790e-01       2.663435840025e-01      -7.611135628798e-04       5.389480293011e-02       5.695585011695e-02                      nan       3.184484454305e-04       5.428004304922e-02 
       2.867014336763e-02      -1.180451418391e+00      -3.524400842488e+01      -4.832289566103e+01       0.000000000000e+00      -1.014231374877e+00      -4.486766187797e+01       2.652152694421e-01       2.652236494264e-01      -8.368136948549e-04       5.416894574267e-02       5.726557598872e-02                      nan       4.186848399510e-04       5.457214653661e-02 
       2.880770808975e-02      -1.169318284016e+00      -3.534906949282e+01      -4.859282355525e+01       0.000000000000e+00      -1.014070465052e+00      -4.510326606013e+01       2.640969447730e-01       2.641072282691e-01      -8.941685117725e-04       5.444296828442e-02       5.757527843130e-02                      nan       5.114898786725e-04       5.486451105758e-02 
       2.894557965859e-02      -1.157831888826e+00      -3.545343092254e+01      -4.886286987755e+01       0.000000000000e+00      -1.014669534423e+00      -4.533885764600e+01       2.629821439619e-01       2.629942787859e-01      -9.319647693642e-04       5.471688840811e-02       5.788496876858e-02                      nan       5.952415661466e-04       5.515715061572e-02 
       2.908376554696e-02      -1.146147527700e+00      -3.555711055238e+01      -4.913304604205e+01       0.000000000000e+00      -1.015941850899e+00      -4.557445037761e+01       2.618708503195e-01       2.618847660342e-01      -9.493035136218e-04       5.499072038476e-02       5.819466184466e-02                      nan       6.684641410577e-04       5.545007665286e-02 
       2.922227344183e-02      -1.134426053843e+00      -3.566015831874e+01      -4.940336691974e+01       0.000000000000e+00      -1.017788234543e+00      -4.581006587189e+01       2.607630963491e-01       2.607787057891e-01      -9.455941181664e-04       5.526450213482e-02       5.850438143506e-02                      nan       7.298551373660e-04       5.574330726114e-02 
       2.936111125182e-02      -1.122828826762e+00      -3.576256882521e+01      -4.967384072869e+01       0.000000000000e+00      -1.020101894599e+00      -4.604571143613e+01       2.596588233901e-01       2.596760240599e-01      -9.204607358056e-04       5.553823767854e-02       5.881413558498e-02                      nan       7.782662739878e-04       5.603684008379e-02 
