# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       3.142991559080e-03      -2.506253018556e+00      -2.275562062626e+00      -2.279483083011e+00       0.000000000000e+00      -2.461078976270e+00      -2.284894251587e+00       5.834540955231e-01       5.764195283604e-01       3.794456832478e-04       1.442960692958e-03       1.444163043651e-03                      nan       3.548350977727e-04       1.402839831365e-03 
       3.255935491967e-03      -2.540328623792e+00      -2.354638278830e+00      -2.359149363699e+00       0.000000000000e+00      -2.490371521360e+00      -2.363088460051e+00       5.816029742119e-01       5.750322765299e-01       3.484640825985e-04       1.545701841482e-03       1.547082879138e-03                      nan       3.241338677833e-04       1.500611219977e-03 
       3.369581727509e-03      -2.571841041861e+00      -2.436703368641e+00      -2.441874199807e+00       0.000000000000e+00      -2.516930354916e+00      -2.444165161927e+00       5.797078436245e-01       5.736006932914e-01       3.112284630413e-04       1.652350369617e-03       1.653931096042e-03                      nan       2.878670782078e-04       1.601928746012e-03 
       3.483873489548e-03      -2.600529007873e+00      -2.521728694550e+00      -2.527635936782e+00       0.000000000000e+00      -2.540533598058e+00      -2.528095110826e+00       5.777720934019e-01       5.721264407730e-01       2.677404436160e-04       1.762873930132e-03       1.764677480029e-03                      nan       2.461548999502e-04       1.706764930877e-03 
       3.598759366763e-03      -2.626141637089e+00      -2.609694510930e+00      -2.616410616817e+00       0.000000000000e+00      -2.560986833405e+00      -2.614849113461e+00       5.757993280767e-01       5.706114755441e-01       2.180903225130e-04       1.877243241887e-03       1.879289925398e-03                      nan       1.992055158451e-04       1.815094643943e-03 
       3.714192786088e-03      -2.648474156432e+00      -2.700562225763e+00      -2.708174638121e+00       0.000000000000e+00      -2.578127770131e+00      -2.704396428749e+00       5.737920950827e-01       5.690566867461e-01       1.624458830516e-04       1.995415058270e-03       1.997731017211e-03                      nan       1.473067411035e-04       1.926889279498e-03 
       3.830131531369e-03      -2.667341403569e+00      -2.794297354909e+00      -2.802902111911e+00       0.000000000000e+00      -2.591826043075e+00      -2.796705829554e+00       5.717533606390e-01       5.674634566727e-01       1.010646605093e-04       2.117347964714e-03       2.119962260366e-03                      nan       9.083310759752e-05       2.042123040721e-03 
       3.946537306183e-03      -2.682573804795e+00      -2.890879309600e+00      -2.900564011915e+00       0.000000000000e+00      -2.601986543220e+00      -2.891746444915e+00       5.696874897229e-01       5.658346247288e-01       3.430658430011e-05       2.243011504606e-03       2.245948137459e-03                      nan       3.024941218951e-05       2.160777984803e-03 
       4.063375338686e-03      -2.694060922150e+00      -2.990255389659e+00      -3.001134288871e+00       0.000000000000e+00      -2.608546081955e+00      -2.989486086852e+00       5.675958582279e-01       5.641701151768e-01      -3.741366805406e-05       2.372347415704e-03       2.375641714029e-03                      nan      -3.392133623624e-05       2.282824748141e-03 
       4.180614025754e-03      -2.701690945919e+00      -3.092410743916e+00      -3.104581374839e+00       0.000000000000e+00      -2.611480518210e+00      -3.089894567999e+00       5.654833376077e-01       5.624734151553e-01      -1.135592850796e-04       2.505329026206e-03       2.509006983974e-03                      nan      -1.010625586400e-04       2.408251970220e-03 
       4.298224613405e-03      -2.705415540633e+00      -3.197292283397e+00      -3.210877034394e+00       0.000000000000e+00      -2.610796931080e+00      -3.192939760886e+00       5.633514319690e-01       5.607447425034e-01      -1.935533947555e-04       2.641896633977e-03       2.645994829422e-03                      nan      -1.705149959308e-04       2.537034106652e-03 
       4.416180910359e-03      -2.705201146950e+00      -3.304869822603e+00      -3.319989885275e+00       0.000000000000e+00      -2.606540019168e+00      -3.298591338153e+00       5.612036606914e-01       5.589864097250e-01      -2.767203477846e-04       2.782009890084e-03       2.786562810451e-03                      nan      -2.415498578007e-04       2.669157361543e-03 
       4.534459031676e-03      -2.701056922703e+00      -3.415103603450e+00      -3.431888887432e+00       0.000000000000e+00      -2.598789756268e+00      -3.406818872422e+00       5.590431831112e-01       5.572004542013e-01      -3.623243797771e-04       2.925622084889e-03       2.930667060576e-03                      nan      -3.133945006433e-04       2.804607833510e-03 
       4.653037169509e-03      -2.693019902658e+00      -3.527954395615e+00      -3.546542614653e+00       0.000000000000e+00      -2.587654510964e+00      -3.517592521211e+00       5.568720994263e-01       5.553879921680e-01      -4.495740323962e-04       3.072681966228e-03       3.078258445982e-03                      nan      -3.852437650941e-04       2.943368438880e-03 
